DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Delta_Close,Delta_Close,"Delta, %"
2025-10-30 21:00,6900.75,6902.25,6895.5,6900.25,3371,3984,92,92,2.309236948
2025-10-30 21:30,6900.5,6904,6899.5,6903.25,2788,3186,278,278,8.725674827
2025-10-30 22:00,6903.25,6904.5,6898.75,6899.25,2319,2824,10,10,0.354107649
2025-10-30 22:30,6899,6899,6893.25,6897,3197,3892,-164,-164,-4.21377184
2025-10-30 23:00,6896.75,6899.75,6893,6894.5,3607,4598,-122,-122,-2.653327534
2025-10-30 23:30,6894.5,6900.5,6894.25,6900,2654,3201,183,183,5.716963449
2025-10-31 0:00,6900,6903,6899.75,6901.5,1912,2301,85,85,3.694046067
2025-10-31 0:30,6901.75,6903,6899.75,6901,1564,1815,-41,-41,-2.258953168
2025-10-31 1:00,6900.75,6901.25,6896.5,6896.5,2601,3069,-279,-279,-9.090909091
2025-10-31 1:30,6896.75,6897.75,6894,6895.25,1796,2097,-323,-323,-15.4029566
2025-10-31 2:00,6895,6900.75,6894.25,6900.25,3318,4024,114,114,2.833001988
2025-10-31 2:30,6900.5,6902.5,6895,6895.75,3236,4197,91,91,2.168215392
2025-10-31 3:00,6896,6898.5,6893,6898.25,2405,2788,-24,-24,-0.860832138
2025-10-31 3:30,6898.25,6906.25,6898,6905.75,3893,4812,590,590,12.26101413
2025-10-31 4:00,6906,6906,6896.25,6899.5,7300,8678,-138,-138,-1.590228163
2025-10-31 4:30,6899.25,6904,6896.75,6903.25,3107,3597,349,349,9.702529886
2025-10-31 5:00,6903.5,6906,6901.25,6902,3168,3735,357,357,9.558232932
2025-10-31 5:30,6902,6902.75,6898.75,6899.75,3602,4392,-256,-256,-5.828779599
2025-10-31 6:00,6900,6900.75,6893.25,6895.5,3845,4630,-446,-446,-9.632829374
2025-10-31 6:30,6895.5,6900.75,6894.25,6898,3330,4022,414,414,10.29338637
2025-10-31 7:00,6898,6905,6894.75,6905,6445,8983,331,331,3.684737838
2025-10-31 7:30,6904.75,6911.5,6902.5,6907.75,6980,9953,591,591,5.937908168
2025-10-31 8:00,6907.5,6918.5,6906.5,6915.75,9732,13028,1632,1632,12.52686521
2025-10-31 8:30,6916,6916.5,6901.75,6905.75,24100,32199,-441,-441,-1.369607752
2025-10-31 9:00,6905.75,6906.25,6899.25,6902,18932,26637,-1113,-1113,-4.178398468
2025-10-31 9:30,6902,6902.5,6880,6886.25,120456,155739,-2535,-2535,-1.627723306
2025-10-31 10:00,6886.25,6888.25,6873.75,6884.25,90632,117937,-659,-659,-0.558772904
2025-10-31 10:30,6884.25,6899.5,6882.75,6896.5,62325,80823,-455,-455,-0.562958564
2025-10-31 11:00,6896.5,6899.5,6887.75,6889,54496,71263,-1575,-1575,-2.210123065
2025-10-31 11:30,6889.25,6893.5,6872.5,6873.5,99697,137724,-4474,-4474,-3.248526038
2025-10-31 12:00,6873.75,6875.25,6856.5,6869.25,85051,114279,-2399,-2399,-2.099248331
2025-10-31 12:30,6869.25,6876.25,6852.5,6855,67397,85536,-402,-402,-0.469977553
2025-10-31 13:00,6855,6859.25,6843.5,6849.25,79157,99807,-2065,-2065,-2.068993157
2025-10-31 13:30,6849.5,6866.5,6845.5,6860.5,65368,81624,-1132,-1132,-1.386847006
2025-10-31 14:00,6860.25,6876,6859.5,6874.75,55750,71551,213,213,0.29768976
2025-10-31 14:30,6874.75,6879.25,6868.75,6878,49473,62073,-1017,-1017,-1.638393504
